"","X__1","A","B","C","D","X"
"177","DB00479",0,0,0,1,0
"178","DB00481",0,0,0,0,1
"179","DB00482",0,0,1,0,0
"180","DB00484",0,1,0,0,0
"181","DB00485",0,1,0,0,0
"182","DB00489",0,1,0,0,0
"183","DB00490",0,1,0,0,0
"184","DB00492",0,0,0,1,0
"185","DB00493",0,1,0,0,0
"186","DB00494",0,0,1,0,0
"187","DB00495",0,0,1,0,0
"188","DB00497",0,1,0,0,0
"189","DB00499",0,0,0,1,0
"190","DB00500",0,0,1,0,0
"191","DB00501",0,1,0,0,0
"192","DB00502",0,0,1,0,0
"193","DB00512",0,0,1,0,0
"194","DB00513",0,0,1,0,0
"195","DB00514",0,0,1,0,0
"196","DB00518",0,0,1,0,0
"197","DB00519",0,0,0,1,0
"198","DB00520",0,0,1,0,0
"199","DB00522",0,1,0,0,0
"200","DB00523",0,0,0,1,0
"201","DB00527",0,0,1,0,0
"202","DB00529",0,0,1,0,0
"203","DB00533",0,0,1,0,0
"204","DB00535",0,1,0,0,0
"205","DB00537",0,0,1,0,0
"206","DB00539",0,0,0,1,0
"207","DB00540",0,0,0,1,0
"208","DB00541",0,0,0,1,0
"209","DB00542",0,0,0,1,0
"210","DB00543",0,0,1,0,0
"211","DB00544",0,0,0,1,0
"212","DB00545",0,0,1,0,0
"213","DB00548",0,1,0,0,0
"214","DB00549",0,1,0,0,0
"215","DB00550",0,0,0,1,0
"216","DB00553",0,0,1,0,0
"217","DB00554",0,0,1,0,0
"218","DB00555",0,0,1,0,0
"219","DB00557",0,0,1,0,0
"220","DB00563",0,0,0,0,1
"221","DB00564",0,0,0,1,0
"222","DB00565",0,1,0,0,0
"223","DB00567",0,1,0,0,0
"224","DB00568",0,0,1,0,0
"225","DB00571",0,0,1,0,0
"226","DB00572",0,0,1,0,0
"227","DB00575",0,0,1,0,0
"228","DB00577",0,1,0,0,0
"229","DB00578",0,1,0,0,0
"230","DB00580",0,0,1,0,0
"231","DB00581",0,1,0,0,0
"232","DB00584",0,0,0,1,0
"233","DB00585",0,1,0,0,0
"234","DB00586",0,1,0,0,0
"235","DB00588",0,0,1,0,0
"236","DB00590",0,0,1,0,0
"237","DB00592",0,1,0,0,0
"238","DB00593",0,0,1,0,0
"239","DB00594",0,1,0,0,0
"240","DB00595",0,0,0,1,0
"241","DB00598",0,0,1,0,0
"242","DB00602",0,0,1,0,0
"243","DB00603",0,0,0,0,1
"244","DB00604",0,0,1,0,0
"245","DB00605",0,1,0,0,0
"246","DB00608",0,0,0,1,0
"247","DB00609",0,0,1,0,0
"248","DB00610",0,0,1,0,0
"249","DB00611",0,0,1,0,0
"250","DB00612",0,0,1,0,0
"251","DB00615",0,1,0,0,0
"252","DB00619",0,0,0,1,0
"253","DB00620",0,0,1,0,0
"254","DB00621",0,0,0,0,1
"255","DB00625",0,0,0,1,0
"256","DB00627",1,0,0,0,0
"257","DB00628",0,0,0,1,0
"258","DB00629",0,0,1,0,0
"259","DB00630",0,0,1,0,0
"260","DB00632",0,1,0,0,0
"261","DB00634",0,0,1,0,0
"262","DB00636",0,0,1,0,0
"263","DB00637",0,0,1,0,0
"264","DB00639",0,0,1,0,0
"265","DB00640",0,0,1,0,0
"266","DB00641",0,0,0,0,1
"267","DB00643",0,0,1,0,0
"268","DB00644",0,1,0,0,0
"269","DB00645",0,0,1,0,0
"270","DB00647",0,0,1,0,0
"271","DB00650",0,0,1,0,0
"272","DB00651",0,0,1,0,0
"273","DB00652",0,0,1,0,0
"274","DB00653",1,0,0,0,0
"275","DB00654",0,0,1,0,0
"276","DB00655",0,0,0,0,1
"277","DB00656",0,0,1,0,0
"278","DB00661",0,0,1,0,0
"279","DB00665",0,0,1,0,0
"280","DB00668",0,0,1,0,0
"281","DB00669",0,0,1,0,0
"282","DB00671",0,1,0,0,0
"283","DB00672",0,0,1,0,0
"284","DB00674",0,1,0,0,0
"285","DB00675",0,0,0,1,0
"286","DB00678",0,0,0,1,0
"287","DB00679",0,0,1,0,0
"288","DB00681",0,1,0,0,0
"289","DB00682",0,0,0,0,1
"290","DB00683",0,0,0,1,0
"291","DB00684",0,0,0,1,0
"292","DB00687",0,0,1,0,0
"293","DB00690",0,0,0,0,1
"294","DB00691",0,0,0,1,0
"295","DB00693",0,1,0,0,0
"296","DB00694",0,0,0,1,0
"297","DB00695",0,0,1,0,0
"298","DB00696",0,0,0,0,1
"299","DB00698",0,1,0,0,0
"300","DB00701",0,0,1,0,0
"301","DB00705",0,0,1,0,0
"302","DB00706",0,1,0,0,0
"303","DB00709",0,0,1,0,0
"304","DB00712",0,1,0,0,0
"305","DB00713",0,1,0,0,0
"306","DB00714",0,0,1,0,0
"307","DB00715",0,0,0,1,0
"308","DB00716",0,1,0,0,0
"309","DB00717",0,0,0,0,1
"310","DB00722",0,0,0,1,0
"311","DB00724",0,0,1,0,0
"312","DB00727",0,0,1,0,0
"313","DB00732",0,0,1,0,0
"314","DB00734",0,0,1,0,0
"315","DB00735",0,1,0,0,0
"316","DB00736",0,1,0,0,0
"317","DB00737",0,1,0,0,0
"318","DB00741",0,0,1,0,0
"319","DB00747",0,0,1,0,0
"320","DB00749",0,0,1,0,0
"321","DB00750",0,1,0,0,0
"322","DB00752",0,0,1,0,0
"323","DB00753",0,0,1,0,0
"324","DB00754",0,0,0,1,0
"325","DB00755",0,0,1,0,0
"326","DB00757",0,1,0,0,0
"327","DB00758",0,1,0,0,0
"328","DB00759",0,0,0,1,0
"329","DB00761",0,0,1,0,0
"330","DB00762",0,0,0,1,0
"331","DB00763",0,0,0,1,0
"332","DB00764",0,0,1,0,0
"333","DB00770",0,0,1,0,0
"334","DB00772",0,1,0,0,0
"335","DB00773",0,0,0,1,0
"336","DB00776",0,0,1,0,0
"337","DB00780",0,0,1,0,0
"338","DB00782",0,0,1,0,0
"339","DB00783",0,0,0,0,1
"340","DB00784",0,0,1,0,0
"341","DB00787",0,1,0,0,0
"342","DB00788",0,0,1,0,0
"343","DB00794",0,0,0,1,0
"344","DB00795",0,1,0,0,0
"345","DB00798",0,0,1,0,0
"346","DB00801",0,0,0,1,0
"347","DB00802",0,0,1,0,0
"348","DB00806",0,0,1,0,0
"349","DB00807",0,0,1,0,0
"350","DB00808",0,1,0,0,0
"351","DB00810",0,0,1,0,0
"352","DB00811",0,0,0,0,1
"353","DB00813",0,0,1,0,0
"354","DB00814",0,0,1,0,0
"355","DB00818",0,1,0,0,0
"356","DB00819",0,0,1,0,0
"357","DB00822",0,0,1,0,0
"358","DB00823",0,0,0,1,0
"359","DB00826",0,0,1,0,0
"360","DB00828",0,1,0,0,0
"361","DB00829",0,0,0,1,0
"362","DB00833",0,1,0,0,0
"363","DB00835",0,0,1,0,0
"364","DB00836",0,0,1,0,0
"365","DB00839",0,0,1,0,0
"366","DB00841",0,1,0,0,0
"367","DB00842",0,0,0,1,0
"368","DB00843",0,0,1,0,0
"369","DB00844",0,1,0,0,0
"370","DB00845",0,0,1,0,0
"371","DB00848",0,0,1,0,0
"372","DB00851",0,0,1,0,0
"373","DB00852",0,0,1,0,0
"374","DB00855",0,0,1,0,0
"375","DB00857",0,1,0,0,0
"376","DB00859",0,0,0,1,0
"377","DB00860",0,0,1,0,0
"378","DB00861",0,0,1,0,0
"379","DB00863",0,1,0,0,0
"380","DB00864",0,0,1,0,0
"381","DB00867",0,1,0,0,0
"382","DB00868",0,0,1,0,0
"383","DB00869",0,0,1,0,0
"384","DB00870",0,0,1,0,0
"385","DB00871",0,1,0,0,0
"386","DB00875",0,0,1,0,0
"387","DB00876",0,0,0,1,0
"388","DB00880",0,0,1,0,0
"389","DB00881",0,0,0,1,0
"390","DB00883",0,0,1,0,0
"391","DB00884",0,0,1,0,0
"392","DB00887",0,0,1,0,0
"393","DB00889",0,1,0,0,0
"394","DB00890",0,0,0,0,1
"395","DB00897",0,0,0,0,1
"396","DB00898",0,0,0,1,0
"397","DB00899",0,0,1,0,0
"398","DB00900",0,1,0,0,0
"399","DB00903",0,1,0,0,0
"400","DB00904",0,1,0,0,0
"401","DB00907",0,0,1,0,0
"402","DB00908",0,0,1,0,0
"403","DB00912",0,0,1,0,0
"404","DB00915",0,0,1,0,0
"405","DB00916",0,1,0,0,0
"406","DB00917",0,0,1,0,0
"407","DB00918",0,0,1,0,0
"408","DB00919",0,1,0,0,0
"409","DB00920",0,0,1,0,0
"410","DB00924",0,1,0,0,0
"411","DB00925",0,0,1,0,0
"412","DB00926",0,0,0,0,1
"413","DB00927",0,1,0,0,0
"414","DB00929",0,0,0,0,1
"415","DB00934",0,1,0,0,0
"416","DB00935",0,0,1,0,0
"417","DB00938",0,0,1,0,0
"418","DB00945",0,0,0,1,0
"419","DB00950",0,0,1,0,0
"420","DB00951",0,0,1,0,0
"421","DB00952",0,0,1,0,0
"422","DB00955",0,0,0,1,0
"423","DB00956",0,0,1,0,0
"424","DB00958",0,0,0,1,0
"425","DB00959",0,0,1,0,0
"426","DB00960",0,1,0,0,0
"427","DB00961",0,0,1,0,0
"428","DB00964",0,0,1,0,0
"429","DB00966",0,0,0,1,0
"430","DB00968",0,1,0,0,0
"431","DB00969",0,1,0,0,0
"432","DB00972",0,0,1,0,0
"433","DB00975",0,1,0,0,0
"434","DB00977",0,0,0,0,1
"435","DB00978",0,0,1,0,0
"436","DB00979",0,0,1,0,0
"437","DB00982",0,0,0,0,1
"438","DB00983",0,0,1,0,0
"439","DB00985",0,1,0,0,0
"440","DB00987",0,0,0,1,0
"441","DB00988",0,0,1,0,0
"442","DB00990",0,0,0,1,0
"443","DB00991",0,0,1,0,0
"444","DB00993",0,0,0,1,0
"445","DB00995",0,0,1,0,0
"446","DB00996",0,0,1,0,0
"447","DB00997",0,0,0,1,0
"448","DB00999",0,1,0,0,0
"449","DB01002",0,1,0,0,0
"450","DB01003",0,1,0,0,0
"451","DB01004",0,0,1,0,0
"452","DB01005",0,0,0,1,0
"453","DB01006",0,0,0,1,0
"454","DB01009",0,1,0,0,0
"455","DB01013",0,0,1,0,0
"456","DB01014",0,1,0,0,0
"457","DB01016",0,0,1,0,0
"458","DB01017",0,0,0,1,0
"459","DB01018",0,1,0,0,0
"460","DB01019",0,0,1,0,0
"461","DB01020",0,0,1,0,0
"462","DB01022",0,0,1,0,0
"463","DB01023",0,0,1,0,0
"464","DB01025",0,1,0,0,0
"465","DB01026",0,0,1,0,0
"466","DB01029",0,0,0,1,0
"467","DB01030",0,0,0,1,0
"468","DB01031",0,0,1,0,0
"469","DB01033",0,0,0,1,0
"470","DB01035",0,0,1,0,0
"471","DB01036",0,0,1,0,0
"472","DB01039",0,0,1,0,0
"473","DB01045",0,0,1,0,0
"474","DB01048",0,0,1,0,0
"475","DB01050",0,0,1,0,0
"476","DB01053",0,1,0,0,0
"477","DB01058",0,1,0,0,0
"478","DB01059",0,0,1,0,0
"479","DB01060",0,1,0,0,0
"480","DB01062",0,1,0,0,0
"481","DB01064",0,0,1,0,0
"482","DB01066",0,1,0,0,0
"483","DB01067",0,0,1,0,0
"484","DB01068",0,0,0,1,0
"485","DB01069",0,0,1,0,0
"486","DB01070",1,0,0,0,0
"487","DB01073",0,0,0,1,0
"488","DB01075",0,1,0,0,0
"489","DB01076",0,0,0,0,1
"490","DB01083",0,1,0,0,0
"491","DB01084",0,1,0,0,0
"492","DB01085",0,0,1,0,0
"493","DB01086",0,0,1,0,0
"494","DB01093",0,0,1,0,0
"495","DB01095",0,0,0,0,1
"496","DB01097",0,0,0,0,1
"497","DB01099",0,0,1,0,0
"498","DB01100",0,0,1,0,0
"499","DB01101",0,0,0,1,0
"500","DB01104",0,0,1,0,0
"501","DB01106",0,0,1,0,0
"502","DB01110",0,0,1,0,0
"503","DB01112",0,1,0,0,0
"504","DB01113",0,0,1,0,0
"505","DB01114",0,1,0,0,0
"506","DB01115",0,0,1,0,0
"507","DB01117",0,0,1,0,0
"508","DB01118",0,0,0,1,0
"509","DB01119",0,0,1,0,0
"510","DB01120",0,0,1,0,0
"511","DB01122",0,0,1,0,0
"512","DB01124",0,0,1,0,0
"513","DB01127",0,0,1,0,0
"514","DB01128",0,0,0,0,1
"515","DB01129",0,1,0,0,0
"516","DB01131",0,1,0,0,0
"517","DB01132",0,0,1,0,0
"518","DB01136",0,0,1,0,0
"519","DB01137",0,0,1,0,0
"520","DB01139",0,1,0,0,0
"521","DB01140",0,1,0,0,0
"522","DB01142",0,0,1,0,0
"523","DB01143",0,0,1,0,0
"524","DB01144",0,0,1,0,0
"525","DB01147",0,1,0,0,0
"526","DB01148",0,1,0,0,0
"527","DB01149",0,0,1,0,0
"528","DB01150",0,1,0,0,0
"529","DB01151",0,0,1,0,0
"530","DB01156",0,0,1,0,0
"531","DB01158",0,0,1,0,0
"532","DB01159",0,0,1,0,0
"533","DB01161",0,0,1,0,0
"534","DB01162",0,0,1,0,0
"535","DB01165",0,0,1,0,0
"536","DB01167",0,0,1,0,0
"537","DB01170",0,0,1,0,0
"538","DB01172",0,0,0,1,0
"539","DB01174",0,0,0,1,0
"540","DB01176",0,1,0,0,0
"541","DB01181",0,0,0,1,0
"542","DB01182",0,0,1,0,0
"543","DB01183",0,1,0,0,0
"544","DB01186",0,1,0,0,0
"545","DB01189",0,1,0,0,0
"546","DB01190",0,1,0,0,0
"547","DB01191",0,0,1,0,0
"548","DB01193",0,1,0,0,0
"549","DB01194",0,0,1,0,0
"550","DB01195",0,0,1,0,0
"551","DB01204",0,0,0,1,0
"552","DB01205",0,0,1,0,0
"553","DB01208",0,0,1,0,0
"554","DB01210",0,0,1,0,0
"555","DB01211",0,0,1,0,0
"556","DB01212",0,1,0,0,0
"557","DB01215",0,0,0,0,1
"558","DB01216",0,0,0,0,1
"559","DB01217",0,0,0,0,1
"560","DB01218",0,0,1,0,0
"561","DB01219",0,0,1,0,0
"562","DB01221",0,1,0,0,0
"563","DB01222",0,1,0,0,0
"564","DB01223",0,0,1,0,0
"565","DB01224",0,0,1,0,0
"566","DB01226",0,0,1,0,0
"567","DB01228",0,1,0,0,0
"568","DB01229",0,0,0,1,0
"569","DB01233",0,1,0,0,0
"570","DB01234",0,0,1,0,0
"571","DB01236",0,1,0,0,0
"572","DB01239",0,0,1,0,0
"573","DB01240",0,1,0,0,0
"574","DB01241",0,1,0,0,0
"575","DB01242",0,0,1,0,0
"576","DB01246",0,0,1,0,0
"577","DB01247",0,0,1,0,0
"578","DB01248",0,0,0,1,0
"579","DB01260",0,1,0,0,0
"580","DB01275",0,0,1,0,0
"581","DB01288",0,1,0,0,0
"582","DB01327",0,1,0,0,0
"583","DB01329",0,1,0,0,0
"584","DB01331",0,1,0,0,0
"585","DB01332",0,1,0,0,0
"586","DB01337",0,0,1,0,0
"587","DB01340",0,0,0,1,0
"588","DB01356",0,0,0,1,0
"589","DB01359",0,0,1,0,0
"590","DB01364",0,0,1,0,0
"591","DB01393",0,0,0,0,1
"592","DB01394",0,0,1,0,0
"593","DB01400",0,0,1,0,0
"594","DB01406",0,0,0,0,1
"595","DB01413",0,1,0,0,0
"596","DB01415",0,1,0,0,0
"597","DB01416",0,1,0,0,0
"598","DB01418",0,0,0,0,1
