"","MW","H.Bond.Donors","H.Bond.Acceptors","logP","AM1_HOMO","AM1_LUMO","mutagenic","most_basic_pKa"
"258",1,1,1,1,"0","0","0","0"
"259",1,1,1,1,"0","1","1","0"
"260",1,1,1,1,"1","0","0","0"
"261",1,1,1,1,"0","0","0","1"
"263",1,1,1,1,"1","0","0","0"
"268",1,1,1,0,"0","1","0","1"
"273",1,1,1,1,"1","0","0","1"
"274",1,1,1,1,"1","1","0","0"
"276",1,1,1,1,"0","1","0","0"
"277",1,1,1,1,"1","1","0","0"
"279",1,1,1,1,"1","1","0","0"
"282",1,1,1,1,"0","1","0","0"
"288",1,1,1,0,"1","0","1","0"
"290",1,1,1,1,"0","0","0","1"
"291",1,1,1,1,"1","1","0","1"
"292",1,1,1,1,"0","1","0","0"
"294",1,1,1,1,"0","0","0","1"
"299",1,1,1,1,"0","0","0","1"
"300",1,1,1,1,"0","0","0","0"
"302",1,1,1,1,"1","0","0","1"
"303",1,1,1,1,"0","0","0","1"
"304",1,1,1,1,"1","0","0","1"
"306",1,1,1,1,"0","1","0","1"
"307",1,1,1,1,"0","0","0","0"
"309",1,1,1,0,"0","0","0","0"
"313",1,1,1,1,"1","0","0","0"
"314",1,0,1,1,"1","1","0","0"
"315",1,1,1,1,"0","1","0","1"
"316",1,1,1,1,"1","0","0","1"
"317",0,1,1,0,"1","1","0","0"
"320",1,1,1,1,"0","0","0","0"
"321",1,0,1,1,"0","0","0","0"
"322",1,0,1,1,"1","1","0","0"
"324",1,1,1,0,"0","1","0","0"
"326",1,1,1,0,"0","1","0","1"
"327",0,1,1,1,"1","1","1","1"
"329",1,1,1,1,"1","1","0","0"
"330",1,1,1,1,"1","1","0","1"
"331",1,1,1,1,"0","0","0","0"
"332",1,1,1,1,"0","0","0","0"
"334",1,1,1,1,"1","1","0","1"
"338",1,0,1,1,"1","0","0","0"
"341",1,1,1,1,"0","1","1","0"
"342",1,1,1,1,"1","1","0","0"
"343",1,1,1,0,"0","1","0","0"
"345",1,1,1,1,"0","0","0","0"
"346",1,1,1,1,"0","1","0","0"
"347",1,1,1,1,"0","1","1","1"
"350",1,1,1,1,"1","1","0","0"
